"ID","Bezeichnung","Beschreibung","URL","NetzwerkeServices","DigitaleAnwendungen","Empfehlungen","RechercheRessourcen","KulturSammlungsgutKolonialeKontexte","NsverfolgungsbedingtEntzogenesKulturgut","KulturgutentziehungenSBZDDR","KriegsbedingtVerlagertesKulturgut","HumanRemains","SecretSacredObjects","NaturkundeNaturwissenschaft"
"KK8KZ5","Looted Art","Auf Grund einer Initiative der Commission for Looted Art in Europe (CLAE) wurde ein zentrales Register ins Leben gerufen, das im Sinne der Washingtoner Prinzipien als zentrales Repositorium für Informationen über NS-Raubgut und die gegenwärtigen Bemühungen um die Erforschung und Klärung offener Fragen dienen soll. Zwei Datenbanken sind online verfügbar: Die Informationsdatenbank enthält Informationen und Dokumentationen aus 49 Ländern, darunter Gesetze und Richtlinien, Berichte und Veröffentlichungen, Archivunterlagen und Ressourcen, aktuelle Fälle und relevante Websites. Die Objektdatenbank enthält Details zu über 25.000 Objekten aller Art - Gemälde, Zeichnungen, Antiquitäten, Judaica usw. -, die aus mehr als fünfzehn Ländern geraubt wurden, fehlen und/oder identifiziert wurden.","lootedart.com","x",,,"x",,"x",,"x",,,
"KFHAK9","Looted Art Poland","Die elektronische Datenbank der Kriegsverluste der Abteilung für Raubkunst in Polen ist das einzige nationale Register von Kulturgütern, die während des Zweiten Weltkriegs innerhalb der Grenzen Polens nach 1945 verloren gingen. Das Hauptziel ist es, Informationen zu erfassen, die zum Thema der kriegsbedingt geplünderten Stätten gesammelt wurden.","http://lootedart.gov.pl/en/","x",,,"x",,"x",,"x",,,
"G0YTCB","LostLift Datenbank","Die LostLift Datenbank enthält Informationen zu im Deutschen Reich lebenden Juden, die verfolgungsbedingt emigriert sind, und ihren Umzugsgütern, das von den Nationalsozialisten beschlagnahmt und durch verschiedene Akteure*innen veräußert wurde.","https://lostlift.dsm.museum/",,,,"x",,"x",,,,,
"AUEFLK","German Sales Institutions","German Sales Institutions enthält Inforamtionen über Institutionen (Auktionshäuser, Galerien, Antiquariate, Akteur*innen, Orte), die in den digitalisierten Auktionskatalogen der German Sales enthalten sind.   ","https://sempub.ub.uni-heidelberg.de/gsi/de/wisski-browse",,,,"x",,"x",,,,,
"H16E7O","German Sales","Die Datenbank German Sales enthält mehr als 12.000 Auktions- und Verkaufskataloge, überwiegend aus dem deutschsprachigen Raum zwischen den Jahren 1901 bis 1945.","https://www.arthistoricum.net/themen/portale/german-sales",,,,"x",,"x",,,,,
"BT1CIR","Lost Art-Datenbank","Die Lost Art-Datenbank ist seit April 2000 online und wird vom Deutschen Zentrum Kulturgutverluste betrieben. Sie enthält Such- und Fundmeldungen von Kulturgütern, die von Privatpersonen oder Institutionen gemeldet wurden. Suchmeldungen beziehen sich auf Kulturgüter, die ihren Eigentümern NS-verfolgungsbedingt zwischen 1933 und 1945 entzogen wurden; Fundmeldungen dokumentieren entsprechend Kulturgüter, für die ein Entzugskontext bekannt ist, oder bei denen Lücken oder Unsicherheiten in den Provenienzen vorhanden sind, die auf einen unrechtmäßigen Entzug hindeuten. 
Lost Art verzeichnet zudem (mögliches) kriegsbedingt verlagertes Kulturgut (entzogen während oder infolge des Zweiten Weltkrieges). ","https://www.lostart.de/de/start","x",,,"x",,"x",,"x",,,
"PCDLSD","Weinmüller","Online-Publikation der 2013 wiederentdeckten, handschriftlich annotierten Auktionskataloge der Kunstversteigerungshäuser Adolf Weinmüller in München und Wien. Die Kataloge betreffen 51 Versteigerungen der Jahre 1936 bis 1944 mit ca. 34.500 Objekten. Das digitalisierte Datenmaterial war bis 2022 im Modul Kunst- und Kulturgutauktionen 1933-1945 des Deutschen Zentrums Kulturgutverluste zugänglich. Da es bislang nicht in proveana integriert ist, haben das Kunstauktionshaus Neumeister und das Zentralinstitut für Kunstgeschichte die Daten separat online publiziert. ","http://weinmueller.zikg.eu/",,,,"x",,"x",,,,,
"UILPLU","Looted Cultural Assets","Die kooperative Provenienzdatenbank Looted Cultural Assets (LCA) wird von den Mitgliedern der in 2016 gegründeten Kooperation von Bibliotheken genutzt, Forschungsergebnisse zu bündeln. Dies kommt nicht nur Bibliotheken, sondern auch anderen Kultureinrichtungen zugute. Neben Büchern und Provenienzhinweisen zu Personen und Institutionen, die von NS-Verfolgung betroffen waren, erfasst die Datenbank auch Datensätze zu Personen und Körperschaften ohne Bezug zum NS-Kulturgutraub.","https://www.lootedculturalassets.de/",,,,"x",,"x",,"x",,,
"EA7BQO","Böhler re:search","Die Datenbank Böhler Re:search beinhaltet die Objektkarteiensystem, die Fotomappen und die Kundenkartei der Kunsthandlung Julius Böhler in München, das 1882 gegründet wurde. Die Datenbank wird vom Zentralinstitut für Kunstgeschichte in München betrieben. Die öffentlich zugängliche Version der Datenbank – „Public Version“ – stellt Forschungsdaten zu den gehandelten Kunstwerken, Transaktionen und Akteuren von 1903 bis 1948 bereit. Der Zugriff auf spätere Informationen bis zum Jahr 1993 – „Internal Version“ – ist nur Nutzern der Bibliothek des Zentralinstituts für Kunstgeschichte mit einer persönlichen Registrierung möglich.","https://boehler.zikg.eu/",,,,"x",,"x",,,,,
"BGJYK5","Galerie Heinemann","Die Datenbank zur Galerie Heinemann, München, erschließt Informationen zu den Kunstwerken, die von der Galerie Heinemann gehandelt wurden. Grundlage für die Datenbank sind verschiedene Karteien und Geschäftsbücher der Galerie sowie weitere Kataloge und Fotografien. ","https://heinemann.gnm.de/de/willkommen.html",,,,"x",,"x",,,,,
"M5VK4G","Central Collecting Point München (CCP)","Die Datenbank ist seit Juni 2009 online und wird vom Bundesamt für zentrale Dienste und offene Vermögensfragen (BADV) bzw. seit 2017 Bundesverwaltungsamt (BVA), Bundesarchiv (BArch) sowie Deutsches Historisches Museum (DHM) betrieben. Nach dem Ende des Zweiten Weltkriegs richteten die Alliierten verschiedene sogenannte Collecting Points in Deutschland ein, u.a. in München. Hier sollte das von den Nationalsozialisten beschlagnahmte Kulturgut gesammelt und inventarisiert werden (mit dem Ziel der Restitution). Im CCP München wurden die Objekte in sechs Karteikartenreihen erfasst Kontrollnummernkartei (= Arrival Cards), Restitutionskartei (nach Mü.-Nr.) (= Property Cards), Alte Ministerpräsidentenkartei, Treuhänderschaft des Bayerischen Ministerpräsidenten, JRSO und heutiger Restbestand CCP. Die Datenbank enthält die Informationen der sog. Restitutionskartei nach Münchener Nummer, die händisch in die Datenbank eingegeben wurden, sowie die gescannten Karteikarten der Hauptkartei des CCP München und wenn vorhanden eine Fotografie des Werkes. ","https://www.dhm.de/datenbank/ccp/dhm_ccp.php?seite=9",,,,"x",,"x",,"x",,,
"K7SN51","Sammlung Goering","Die Datenbank Sammlung Goering ist seit Juni 2012 online und wird vom Bundesamt für zentrale Dienste und offene Vermögensfragen (BADV) bzw. seit 2017 Bundesverwaltungsamt (BVA) sowie Deutsches Historisches Museum (DHM) betrieben. In der Datenbank befinden sich über 4.200 Datensätze zu den Kunstwerken Hermann Görings (1893-1946), die dieser im Zeitraum von 1928 bis 1945 sammelte. Die Angaben zu den Kunstwerken stammen zum Großteil aus dem “Göring-Katalog” und wurden durch Informationen aus anderen Publikationen ergänzt. Neben den Objektinformationen befinden sich in der Datenbank noch Fotografien, wenn vorhanden. ","https://www.dhm.de/datenbank/goering/dhm_goering.php?seite=18",,,,"x",,"x",,"x",,,
"E5W9BC","Sammlung Linz","Datenbank zur Sammlung Linz: Seit Juli 2008 ist die Datenbank zur Sammlung Linz online und wird vom Bundesamt für zentrale Dienste und offene Vermögensfragen (BADV) bzw. seit 2017 Bundesverwaltungsamt (BVA) sowie Deutsches Historisches Museum (DHM) betrieben. Die Datenbank enthält Datensätze zu circa 6.700 Kunstwerken, die für das geplante Führermuseum (aber auch für andere Sammlungen und Museen) von Adolf Hitler und seinen Sonderbeauftragten zusammengetragen wurden. Neben den Objektinformationen befinden sich in der Datenbank noch Fotografien, wenn vorhanden. ","https://www.dhm.de/datenbank/linzdb/",,,,"x",,"x",,"x",,,
"OKIYL2","Entartete Kunst Datenbank (FU Berlin)","Datenbank “Entartete Kunst” betrieben von der Forschungsstelle “Entartete Kunst” an der Freien Universität Berlin: Die Datenbank enthält Informationen zum Gesamtverzeichnis der 1937/38 in deutschen Museen beschlagnahmten Werke ""entarteter Kunst"". Das Gesamtverzeichnis basiert auf dem Beschlagnahmeinventar, das von den Nationalsozialisten angelegt wurde. Die teilweise unvollständigen und ungenauen Angaben wurden vervollständigt, berichtigt und erweitert. Es gab weitere Ergänzungen: Werke, die laut Herkunftsmuseen beschlagnahmt wurden (aber nicht im Inventar auftauchen); Werke, “die von den Museen selbst während der NS-Zeit abgegeben wurden oder ihnen auf andere Weise verloren gingen”; ggf. Werke aus privaten Sammlungen, wenn sie als Leihgaben im Museum waren und dort beschlagnahmt wurden. ","http://emuseum.campus.fu-berlin.de/eMuseumPlus ",,,,"x",,"x",,,,,
"OARVY7","Getty Provenance Index","Der Getty Provenance Index®  ist eine umfangreiche digitale Datensammlung, die 1974 vom Getty Research Institute in Los Angeles aufgebaut wurde und seitdem kontinuierlich erweitert und gepflegt wird. Die Menge und der Umfang des verfügbaren Forschungsmaterials variieren je nach Region, Zeitraum und Art der Dokumente, sodass keinesfalls für Vollständigkeit garantiert werden kann. Es wurden jedoch bereits mehr als 22.000 Archivmaterialien aus Belgien, Deutschland, England, Frankreich und den skandinavischen Ländern in diese Sammlung integriert und mehr als 1,8 Mio. Datensätze zu einzelnen Objekten extrahiert. In diesen Datensätzen sind Gemälde, Zeichnungen, Skulpturen, Tapisserien, Miniaturen und kunstgewerbliche Objekte aus Emaille enthalten.","https://piprod.getty.edu/starweb/pi/servlet.starweb?path=pi/pi.web",,,,"x",,"x",,,,,
"KU7V30","Max Stern Art Restitution Project","Das Max Stern Art Restitution Project wurde ins Leben gerufen, um den Kunstbesitz von Dr. Max Stern, der ihm durch das NS-Regime entzogen wurde, zu rekonstruieren. Die entsprechende Webseite enthält eine Liste der bereits ""Recovered Works"" und den ""Missing Works"". ","https://www.concordia.ca/arts/max-stern.html",,,,"x",,"x",,,,,
"UBD8SN","Bildindex Foto Marburg","Der Bildindex Foto Marburg ist ein Portal, in dem Bild- und Datenbestände von über 80 Einrichtungen aus dem Bereich Kunst und Architektur publiziert und zur Nachnutzung angeboten werden.","https://www.bildindex.de/   ",,,,"x",,"x",,,,,
"NEH625","ERR Database","Kulturplünderung durch den Einsatzstab Reichsleiter Rosenberg: Datenbank der Kunstobjekte im Jeu de Paume","https://www.errproject.org/jeudepaume/   ",,,,"x",,"x",,,,,
"RE7O0H","Findbuch der Republik Österreich","Das Findbuch für Opfer des Nationalsozialismus wird vom Nationalfonds der Republik Österreich für die Opfer des Nationalsozialismus gehostet. Es basiert auf den Informationen und Verzeichnissen der Anträge auf Vermögensentschädigung und Naturalrestitution, die im Zuge der Bearbeitung der Anträge an den Allgemeine Entschädigungsfonds für Opfer des Nationalsozialismus gesammelt wurden. Im registrierungspflichtigen Findbuch können die Verweise zu Dokumente und Akten zu NS-Vermögensentziehungen (1938 bis 1945) sowie zu österreichischen Restitutions- und Entschädigungsmaßnahmen in der Nachkriegszeit aufgefunden werden. Diese Daten beziehen sich beispielsweise auf Arisierungsakte und Vermögensanmeldungen aus dem Bestand der NS-Vermögensverkehrsstelle. Die Vermögensanmeldungen von Jüdinnen und Juden nach dem Stand vom 27. April 1938 können über das Findbuch ebenso abgefragt werden, wie die Akten der Rückstellungskommissionen bei den Landesgerichten sowie die Rückstellungsakten der Finanzlandesdirektionen oder die Akten der Sammelstellen A und B und des Abgeltungsfonds. Durch das Findbuch wird erstmals eine übergreifende Suche nach Personen, Unternehmen oder Adressen in mehreren Archiven und unterschiedlichen Aktenbeständen ermöglicht. Zudem bietet das Findbuch eine Suche in digitalisierten historischen Adressbüchern und Amtskalendern, wodurch Recherchen zu Wohnadressen und Firmensitzen auch ohne Registrierung ermöglicht werden.","https://www.findbuch.at/oesterreich ",,,,"x",,"x",,,,,
"LWBAS6","Arolsen Archives","30 Millionen Original-Dokumente online verfügbar. Dazu gehören Bestände aus der Nachkriegszeit über Displaced Persons – etwa Fragebögen der International Refugee Organization (IRO), oft mit Fotos der Menschen. Millionen individuelle Unterlagen zu einzelnen Häftlingen aus den Konzentrationslagern, Ghettos, Gefängnissen und anderen NS-Haftanstalten oder auch Listen zu Deportationen dokumentieren die Verfolgungswege der NS-Opfer. ","https://arolsen-archives.org/suchen-erkunden/suche-online-archiv/",,,,"x",,"x",,,,,
"Y0KTH8","Handschriftenportal","Das Handschriftenportal dient als zentrales Online-Portal für die Digitalisate der Buchhandschriften in deutschen Sammlungen. Es werden Handschriften oder Fragmente und andere Überreste von Manuskripten zusammen mit ersten Basisdaten unter ihrer jeweiligen Signatur online nachgewiesen und mit den vorhandenen Erschließungsdaten und Digitalisaten verknüpft. Die Erschließungsdaten (=Handschriftenbeschreibungen) umfassen Angaben zum Inhalt, zur Materialität und der Geschichte der Handschriften, die digitalisierten Manuskripte (bevorzugt als IIIF) werden auf die Präsentationssysteme der besitzenden Häuser und anderer Anbieter verlinkt. Eine alphabetisch geordnete Übersicht zu den Beständen besitzender Einrichtungen erleichtert die Suche nach Inhalten, etwa durch Findbücher oder Bestandsverzeichnisse noch nicht digitalisierter Manuskripte.","https://handschriftenportal.de/ ",,,,"x",,,,,,,
"D6NTL3","Kalliope-Verbund","Kalliope ist eine Online-Erschließungsplattform (open-access) zur zentralen Bereitstellung von archivalischen Daten aus Bibliotheken, Museen, Archiven und ähnlichen Einrichtungen. Die Datenerfassung beinhaltet zudem sowohl Nachlässe und Autographen als auch Provenienzbestände etwa von Universitäten und Forschungsinstituten, Verlagen und Unternehmen, Kirchen und Verbänden. Die Nutzung gemeinsamer Normdaten (für Personen: GND, VIAF, ISNI) und standardisierter Schnittstellen gewährleistet umfassende, vernetzte Recherchemöglichkeiten. Die archivalischen Daten können sowohl über direkt über das Portal des Kalliopeverbunds als auch über externe, hauseigene Datenbanken der besitzenden Einrichtungen eingespeist und nachgewiesen werden.","https://kalliope-verbund.info/search",,"x",,"x","x","x","x",,,,
"NQYTW6","Historisch-biographische Hilfsmittel: Universitäten - für die Neue Deutsche Biographie","Sammlung von Links zu digitalen biographisch-historischen Hilfsmitteln für den akademischen Bereich. Die Übersicht (Stand 2020) enthält digitalisierte Professorenkataloge und Matrikelverzeichnisse von Universitäten v.a. aus Deutschland, aber vereinzelt auch aus den Niederlanden, Frankreich, Italien und Österreich. Außerdem finden sich dort auch Gelehrtenlexika, Verzeichnisse von Ehrendoktorwürden und Geenkbücher für Opfer nationalsozialistischer Verfolgung.","http://www.ndb.badw-muenchen.de/eb_univ.htm",,,,"x",,"x",,,,,
"N8NRYC","Heidelberg Accession Index (HAI)","Der von der UB Heidelberg bereit gestellte Heidelberg Accession Index (HAI) bietet einen Zugang zu den Digitalisaten von Zugangsbüchern und Bestandsverzeichnissen deutscher Sammlungen und Museen. Ausgangspunkt für das neue noch im Aufbau befindliche Angebot – das einen möglichst breiten Nachweis digital verfügbarer Dokumentationen anstrebt – bilden die rund 1.000 Erwerbungsbücher der Staatlichen Museen zu Berlin (SMB) aus den Jahren 1650 bis 2010.  Ergänzt werden die Berliner Erwerbungsbücher um Inventarbücher z.B. des LVR-LandesMuseum Bonn, der Staatlichen Kunstsammlungen Dresden, des Städtischen Museums Göttingen, der Staatsgalerie Stuttgart, der Bibliothek des Germanischen Nationalmuseums oder der Universität Heidelberg. Weitere Bestände sind in Vorbereitung.","https://digi.ub.uni-heidelberg.de/hai/",,,,"x","x","x","x","x","x","x",
"ADER6R","Erwerbungsbücher der Staatlichen Museen zu Berlin","Bereitstellung der Erwerbungsbücher aller Häuser der Staatlichen Museen als pdf. Seit dem 17. Jahrhundert wird in handschriftlich verfassten Bänden über die Zugangskonditionen, den Vorbesitz und die Fundumstände sowie über spätere Verluste oder Verlagerungen des Sammlungsbestands berichtet. Die Erwerbungsbücher der Staatlichen Museen zu Berlin bilden bis heute den Bestandsnachweis der Museumssammlungen und spiegeln die wechselvolle Geschichte des Sammlungsaufbaus und der Provenienz der Bestände. Das Projekt „Provenienz und Bestand. Online Publikation der Erwerbungsbücher der Staatlichen Museen zu Berlin“ stellt den historischen Gesamtbestand von mehr als 1.000 Bänden bereit. Enthalten sind: Nationalgalerie, Kupferstichkabinett, Antikensammlung, Kunstgewerbemuseum, Ethnologisches Museum, Museum für Asiatische Kunst, Museum Europäischer Kulturen, Ägyptsiches Museum und Papyrussammlung, Gemäldegalerie, Kunstbibliothek, Museum für Islamische Kunst, Museum für Vor- und Frühgeschichte","https://www.smb.museum/forschung/erwerbungsbuecher/",,,,"x","x","x","x","x","x","x",
"FSUN7X","Inventarbücher des Leibniz-Zentrums für Archäologie (LEIZA), ehemals Römisch-Germanisches Zentralmuseum (RGZM)","Das Leibniz-Zentrum für Archäologie (LEIZA), ehemals Römisch-Germanisches Zentralmuseum (RGZM), wurde 1852 als Forschungsmuseum gegründet, um eine Sammlung der wichtigsten archäologischen Funde zunächst Mittel- und Westeuropas anzulegen. Das Sammelgebiet wurde danach sukzessive auf ganz Europa, Vorderasien und Nordafrika erweitert. Bis um 1900 wurden vor allem Kopien von archäologischen Funden angefertigt, danach auch zunehmend Originale in die Sammlung integriert. In den Inventarbüchern des LEIZA sind alle Zugänge an Kopien und Originalobjekten verzeichnet inklusive Zeichnungen und - soweit aufgenommen - Angaben zu Vorbesitzer und Fundort. Das Portal bietet einen Zugang zu den Digitalisaten der Inventarbücher bis 2001 und eingeschränkte Suchmöglichkeiten.","https://www.leiza.de/forschung/infrastrukturen/sammlungen/inventarbuecher",,,,"x","x","x","x","x","x","x","x"
"O9PFNI","Inventar “Entartete Kunst”, Harry-Fischer Liste, Victoria and Albert Museum","Das V&A besitzt das einzige bekannte Exemplar eines vollständigen Inventars der Entarteten Kunst, die vom NS-Regime aus öffentlichen Einrichtungen in Deutschland beschlagnahmt wurde, hauptsächlich in den Jahren 1937 und 1938. Die Liste von mehr als 16.000 Kunstwerken wurde vom Reichsministerium für Volksaufklärung und Propaganda im Jahr 1942 oder später erstellt. Es scheint, dass das Inventar als abschließende Aufzeichnung erstellt wurde, nachdem die Verkäufe und Veräußerungen der beschlagnahmten Kunstwerke im Sommer 1941 abgeschlossen worden waren. Die beiden maschinenschriftlichen Bände des Inventars enthalten wichtige Informationen über die Herkunft, die Ausstellungsgeschichte und das Schicksal der einzelnen Kunstwerke.","https://www.vam.ac.uk/articles/explore-entartete-kunst-the-nazis-inventory-of-degenerate-art?srsltid=AfmBOop3ZgzpPPto5q0beuwb0AhA1mWGEwwZAFeCqxmx-zcUR9jpvIpy#?xywh=1045%2C2236%2C1741%2C1170",,,,"x",,"x",,"x",,,
"O03LVZ","Digitale Sammlung deutscher Kolonialismus, Staats- und Universitätsbibliothek Bremen","Zwischen April 2017 und März 2019 wurden in der Staats- und Universitätsbibliothek Bremen über 550 Titel zum deutschen Kolonialismus digitalisiert.","https://brema.suub.uni-bremen.de/dsdk",,,,"x","x",,,,,,
"L5A6H9","Museum-digital","Plattform auf der große und kleine Museen Informationen zu ihren Objekten veröffentlichen. Sie umfasst Objekte verschiedenster Art, die durch vielfache Verweise miteinander verknüpft werden, um Zusammenhänge zu veranschaulichen und das Auffinden zu erleichtern. Stand 24.02.2025 ","https://www.museum-digital.de/",,,,"x","x","x","x","x","x","x","x"
"O1DLP3","Prometheus","prometheus ist ein verteiltes digitales Bildarchiv für Kunst- und Kulturwissenschaften. Das von einem gemeinnützigen Verein getragene und im Kunsthistorischen Institut der Universität zu Köln angesiedelte prometheus Bildarchiv führt seit 2001 Bild- und Mediendatenbanken unterschiedlichster Institutionen unter einer Benutzeroberfläche online zusammen und ermöglicht eine Bildsuche in 129 Bilddatenbanken mit über 3,9 Millionen Einträgen verschiedener kunst- und kulturhistorischer Disziplinen. Die Bildgeberinnen und Bildgeber stellen die Einträge ihrer Datenbanken kostenlos für Forschung und Lehre zur Verfügung. Die für die Provenienzrecherche relevanten Daten variieren je nach zugrundeliegender Datenbank. Die Nutzung setzt eine grundsätzlich gebührenpflichtige Anmeldung voraus, die durch institutionelle Zugänge („Campuslizenz“) allerdings abgefedert werden kann.","https://prometheus-bildarchiv.de/",,,,"x","x","x","x","x","x","x",
"EG6L98","IKMK","Portal öffentlicher Münzsammlungen aus Deutschland, Österreich und der Schweiz, die auf das Dokumentationsprogramm des Berliner Münzkabinetts (mk-edit/IKMK) zurückgreifen. Dazu gehören neben Berlin das Kunsthistorische Museum Wien und das Münzkabinett Winterthur, das HAUM in Braunschweig oder das RGM in Köln sowie zahlreiche universitäre Münzsammlungen; weitere Sammlungen kommen sukzessive hinzu. Die Suchergebnisse des Portals führen mittels permanenter Links auf die jeweiligen Objekteinträge in den lokalen Katalogen. Personeneinträge (u.a. Vorbesitzende und Veräußerer) werden über das Normdatenportal (NDP, s. dort) verwaltet. Daten und Bilder sind nach einer CC BY-SA 4.0 Lizenz nutzbar.","https://www.ikmk.net",,,,"x",,"x","x","x",,,
"IDP2JN","Europeana","Europäische Kultursuchmaschine - Europas digitales Kulturerbe entdecken - Kunst, Bücher, Filme und Musik von Tausenden von Kulturinstitutionen durchsuchen, speichern und teilen. Neben Web-Seiten werden auch APIs angeboten.","https://www.europeana.eu/de",,,,"x","x","x","x","x","x","x","x"
"W2B8VJ","Deutsches Zeitungsportal (DDB)","Das Deutsche Zeitungsportal der DDB ermöglicht die Suche in den digitalisierten Beständen deutschsprachiger Zeitungen des Zeitraums zwischen 1671 und 1994. Eine Erschließung von Namen ist möglich und gewährt Informationen zu wichtigen Personendaten (Sterbeanzeigen, Erbschaften etc.). Auch wichtige Anzeigen jeder Art (z.B. Ausstellungen, Neuigkeiten aus Museen und dem kulturellen Leben) sind hierüber recherchierbar","https://www.deutsche-digitale-bibliothek.de/newspaper ",,,,"x",,"x","x",,,,
"VIAXCT","Hinweise zu Quellen Stolpersteine Berlin","Die Berliner Koordinierungsstelle des von Gunter Demnig initiierten Kunstprojekts Stolpersteine stellt auf ihrer Website Hinweise zur Recherche von Informationen zu durch den Nationalsozialismus Verfolgten in relevanten Quellenbeständen gebündelt zusammen. Darunter befindet sich auch ein mehrseitiger Leitfaden, der mit Anlaufstellen, Beschreibung der Recherchemöglichkeiten, einer Übersicht zu Beständen und Benutzerhinweisen auf nationaler und internationaler Ebene versehenen ist. ","https://www.stolpersteine-berlin.de/de/biografie/hinweise-zu-quellen","x",,"x","x",,"x",,,,,
"IZMSKQ","Frits Luigt","Datenbank der Marken auf den Objekten, die sie einem oder mehreren Sammlern, Besitzern oder Kunsthändlern zuordnen. Am häufigsten sind europäische Sammlungen und Sammler vertreten. Datenbank für die Provenienzrecherche und Sammlungsforschung vor allem im Bereich der Grafik, Zeichnung und Drucks oder für Bücher und Manuskripte. Über die Marken lassen sich vorherige Besitzer und weitere Recherchemöglichkeiten finden, sowie Lücken in der Herkunft der Objekte schließen. Der Gründer der Datenbank, Frits Lugt, war ein niederländischer Kunsthistoriker und Kunstsammler.","https://www.marquesdecollections.fr/",,,,"x",,"x",,"x",,,
"XQBXUF","Wasserzeichen online","Gemeinsames Informationssystem für Wasserzeichen, in das digitalisierte Abbildungen von Wasserzeichen mit ihren Metadaten (Motiv, Beschreibort, Trägerhandschrift etc.) dezentral eingegeben werden können. Das System standardisiert den Aufbau und die Verwaltung einer digitalen Wasserzeichensammlung und macht diese über einen zentralen Zugang im Internet nutzbar. ","https://www.wasserzeichen-online.de/wzis/index.php",,,,"x","x","x","x","x",,,
"F593UE","Arbeitskreis Provenienzforschung e. V.","Der Arbeitskreis Provenienzforschung e.V. ist ein Netzwerk bestehend aus über 400 Wissenschaftler:innen und Expert:innen, die weltweit in verschiedenen öffentlichen und privaten Einrichtungen arbeiten oder freiberuflich tätig sind und sich der Herkunft von Kulturgütern in unterschiedlichen Entzugskontexten widmen. Der Arbeitskreis veranstaltet regelmäßige Fachtagungen und Workshops sowie eine jährliche Mitgliederversammlung. Verschiedene Arbeitsgruppen innerhalb des Arbeitskreises bearbeiten zudem unterschiedliche thematische Schwerpunkte. ","https://www.arbeitskreis-provenienzforschung.org/","x",,,,"x","x","x","x","x","x","x"
"IIA9LB","Kontaktstelle für Sammlungsgut aus kolonialen Kontexten in Deutschland ","Die Kontaktstelle für Sammlungsgut aus kolonialen Kontexten in Deutshcland richtet sich insbesondere an Personen und Institutionen aus den Herkunftsstaaten und Herkunftsgesellschaften. Sie soll die erste Anlaufstelle für alle Fragen zu Sammlungsgut aus kolonialen Kontexten in Deutschland sein. Zu den Aufgaben gehören: Vernetzung, Vermittlung sowie Sammlung, Strukturierung, Dokumentation, Veröffentlichung und statistische Auswertung von Daten und Informationen.","https://www.cp3c.de/","x",,,,"x",,,,,,
"IZOTK5","Forschungsverbund Provenienzforschung Bayern ","Der Forschungsverbund Provenienzforschung Bayern (FPB) ist 2015 auf Initiative des Bayerischen Staatsministeriums für Bildung und Kultus, Wissenschaft und Kunst gegründet worden. Er dient der Vernetzung und dem Austausch von Archiven, Bibliotheken, Museen und Forschungsinstituten, die sich mit Provenienzforschung befassen. Derzeit gehören dem Forschungsverbund 26 Institutionen an, deren Ansprechpartner*innen auf der Webseite hinterlegt sind. Zudem sind die bisher erfolgten Restitutionen, Fundmeldungen der Bayerischen Einrichtungen in die lost art-Datenbank sowie digitale Quellen und Tätigkeitsberichte der Mitglieder und Kooperationspartner*innen verzeichnet.","https://provenienzforschungsverbund-bayern.de/de/home ","x",,,,"x","x","x","x","x","x","x"
"W44KI6","Netzwerk Provenienzforschung in Niedersachsen","Das Netzwerk Provenienzforschung in Niedersachsen wurde 2015 vom Land Niedersachsen mit der Absicht initiiert, auf Landesebene Kompetenzen zu bündeln und mit dem Deutschen Zentrum Kulturgutverluste zu verzahnen. Das Netzwerk wird von einer Lenkungsgruppe unter Vorsitz des Niedersächsischen Ministeriums für Wissenschaft und Kultur gesteuert. Zu den Mitgliedern zählen Museen und Universitäten in Niedersachsen, der Museumsverband Niedersachsen und Bremen e. V. sowie Bibliotheken, Archive und Landschaftsverbände. Die Koordinationsstelle des Netzwerks hat ihren Sitz am Niedersächsischen Landesmuseum Hannover und richtet thematische Schwerpunkte auf NS-Raubgut und Sammlungsgut aus kolonialen Kontexten aus. Auf der Webseite informiert die Koordinierungsstelle über die Aktivitäten des Netzwerks, Termine und aktuelle Nachrichten und listet Links zum Themenfeld der Provenienzforschung auf.","https://www.provenienzforschung-niedersachsen.de ","x",,,,"x","x","x","x","x","x","x"
"TVQEUV","Provenienzforschung Hessen","Im Jahr 2015 wurde auf Initiative des Hessischen Ministeriums für Wissenschaft und Kunst eine Zentrale Stelle für Provenienzforschung eingerichtet, um die bereits bestehenden Maßnahmen zur Suche nach NS-verfolgungsbedingt entzogenem Kulturgut in Hessen institutionell zu festigen. Die mit zwei wissenschaftlichen Mitarbeitenden besetzte Zentralstelle ist am Museum Wiesbaden angesiedelt und bietet mit dem Schwerpunkt NS-verfolgungsbedingt entzogenem Kulturgut die Grundlage für die hessischen Landesmuseen den „Washingtoner Prinzipien“ und der „Gemeinsamen Erklärung“ nachzukommen. Sie berät über die drei Landesmuseen auch weitere Museen in Hessen. Auf der Webseite werden Ergebnisse der Forschung sichtbar gemacht und vereinzelt durch Führungen oder Veranstaltungen präsentiert. Das Thema Provenienzforschung wurde ebenfalls im Journal des Hessischen Museumsverbandes e. V. integriert.","https://provenienzforschung.hessen.de/","x",,,,"x","x","x","x","x","x","x"
